"_time",guid,ip,"private_ip",hostname,servername,os
1734697234,"00512D1E-B3BD-4E4B-B97A-A31A5B69D00F","10.10.187.204","10.10.187.204",TARPMPDOPCAP09P,TARPMPDOPCAP09P,"linux-x86_64"
1734697234,"0FD7E024-4804-419D-832A-33908AA422CA","10.14.28.99","10.14.28.99",TTLSWNPR149150,TTLSWNPR149150,"linux-x86_64"
1734697234,"333C9EA6-3BA3-4416-A506-0E942B7D5E46","10.14.109.167","10.14.109.167",TTLSWDPE45206,TTLSWDPE45206,"linux-x86_64"
1735202365,"4354353-452224-53","127.0.0.1","120.0.0.1",ravi,patel,123
1735202588,"4354353-452224-535","127.0.0.1","120.0.0.1",ravi,patel,123
1734697234,"4F34E675-D7BE-4B01-9CA0-B23FA68B9059","10.14.108.28","10.14.108.28",BX8ZJQ1,BX8ZJQ1,"linux-x86_64"
1734697234,"AACFDDD6-FD04-48B4-B3A8-1AD0A62A5632","10.10.38.129","10.10.38.129",TARCWD34315,TARCWD34315,"linux-x86_64"
1735575339,"E3D64D4A-39F4-4968-AAD3-B365D6508A27","10.60.230.36","10.60.230.36",RHNQBASDHC2,RHNQBASDHC2,"mac-os"
1735575339,"F6724583-EFED-4A80-ACAB-AFF570F9D536","10.60.233.68","10.60.233.68",RHNPA11DNEWS2,RHNPA11DNEWS2,windows
1735575339,"hbf77h-dvsh5j-bdhjgt6","127.0.0.1","120.0.0.1",ravi,patel,123
